Number of particles,times
10,0.017699115044248
12,0.023598820058997
15,0.029498525073746
20,0.035398230088496
15,0.041297935103245
15,0.047197640117994
21,0.053097345132743
257,0.058997050147493
20,0.064896755162242
12,0.070796460176991
12,0.076696165191741
18,0.08259587020649
9,0.088495575221239
19,0.094395280235988
25,0.100294985250738
103,0.106194690265487
12,0.112094395280236
19,0.117994100294985
16,0.123893805309734
11,0.129793510324484
18,0.135693215339233
12,0.141592920353982
64,0.147492625368731
14,0.153392330383481
17,0.15929203539823
26,0.165191740412979
94,0.171091445427728
24,0.176991150442478
45,0.182890855457227
19,0.188790560471977
62,0.194690265486725
14,0.200589970501475
12,0.206489675516225
18,0.212389380530973
140,0.218289085545723
6,0.224188790560472
11,0.230088495575222
19,0.23598820058997
51,0.24188790560472
12,0.247787610619468
25,0.253687315634218
16,0.259587020648968
15,0.265486725663717
18,0.271386430678467
15,0.277286135693215
14,0.283185840707965
12,0.289085545722713
45,0.294985250737463
13,0.300884955752212
11,0.306784660766962
31,0.312684365781712
25,0.31858407079646
22,0.32448377581121
24,0.330383480825958
27,0.336283185840708
10,0.342182890855457
17,0.348082595870207
442,0.353982300884955
15,0.359882005899705
38,0.365781710914455
47,0.371681415929203
34,0.377581120943953
13,0.383480825958702
16,0.389380530973452
22,0.3952802359882
25,0.40117994100295
24,0.407079646017698
16,0.412979351032448
16,0.418879056047198
14,0.424778761061947
9,0.430678466076697
13,0.436578171091445
11,0.442477876106195
9,0.448377581120943
11,0.454277286135693
14,0.460176991150442
42,0.466076696165192
82,0.471976401179942
19,0.47787610619469
20,0.48377581120944
27,0.489675516224188
23,0.495575221238938
64,0.501474926253687
23,0.507374631268437
38,0.513274336283185
10,0.519174041297935
16,0.525073746312685
12,0.530973451327433
47,0.536873156342183
11,0.542772861356932
14,0.548672566371682
18,0.55457227138643
22,0.56047197640118
40,0.56637168141593
36,0.572271386430678
12,0.578171091445428
129,0.584070796460177
12,0.589970501474927
8,0.595870206489675
19,0.601769911504425
18,0.607669616519173
19,0.613569321533923
20,0.619469026548673
14,0.625368731563422
18,0.631268436578172
16,0.63716814159292
15,0.64306784660767
12,0.648967551622418
12,0.654867256637168
17,0.660766961651917
45,0.666666666666667
31,0.672566371681417
23,0.678466076696165
13,0.684365781710915
110,0.690265486725663
12,0.696165191740413
12,0.702064896755162
126,0.707964601769912
13,0.713864306784662
17,0.71976401179941
13,0.72566371681416
19,0.731563421828908
9,0.737463126843658
41,0.743362831858407
18,0.749262536873157
10,0.755162241887905
37,0.761061946902655
10,0.766961651917405
27,0.772861356932153
9,0.778761061946903
30,0.784660766961652
43,0.790560471976402
20,0.79646017699115
9,0.8023598820059
29,0.808259587020648
11,0.814159292035398
21,0.820058997050148
16,0.825958702064897
8,0.831858407079647
19,0.837758112094395
8,0.843657817109145
16,0.849557522123893
19,0.855457227138643
14,0.861356932153392
12,0.867256637168142
13,0.873156342182892
35,0.87905604719764
18,0.88495575221239
22,0.890855457227138
11,0.896755162241888
30,0.902654867256637
18,0.908554572271387
22,0.914454277286137
16,0.920353982300885
15,0.926253687315635
8,0.932153392330383
17,0.938053097345133
11,0.943952802359882
13,0.949852507374632
22,0.95575221238938
12,0.96165191740413
13,0.967551622418878
24,0.973451327433628
25,0.979351032448378
11,0.985250737463127
67,0.991150442477877
11,0.997050147492625
11,1.00294985250738
17,1.00884955752212
62,1.01474926253687
11,1.02064896755162
11,1.02654867256637
18,1.03244837758112
17,1.03834808259587
23,1.04424778761062
18,1.05014749262537
28,1.05604719764012
28,1.06194690265487
21,1.06784660766962
13,1.07374631268437
19,1.07964601769912
12,1.08554572271387
14,1.09144542772861
14,1.09734513274336
21,1.10324483775811
20,1.10914454277286
12,1.11504424778761
96,1.12094395280236
11,1.12684365781711
27,1.13274336283186
30,1.13864306784661
14,1.14454277286136
11,1.15044247787611
20,1.15634218289086
20,1.16224188790561
58,1.16814159292035
22,1.1740412979351
12,1.17994100294985
9,1.1858407079646
27,1.19174041297935
39,1.1976401179941
15,1.20353982300885
12,1.2094395280236
12,1.21533923303835
17,1.2212389380531
8,1.22713864306785
20,1.2330383480826
1037,1.23893805309735
878,1.2448377581121
13,1.25073746312684
30,1.25663716814159
28,1.26253687315634
33,1.26843657817109
30,1.27433628318584
32,1.28023598820059
34,1.28613569321534
19,1.29203539823009
44,1.29793510324484
33,1.30383480825959
24,1.30973451327434
35,1.31563421828909
45,1.32153392330384
30,1.32743362831859
29,1.33333333333333
30,1.33923303834808
27,1.34513274336283
14,1.35103244837758
15,1.35693215339233
13,1.36283185840708
17,1.36873156342183
13,1.37463126843658
16,1.38053097345133
15,1.38643067846608
8,1.39233038348083
6,1.39823008849558
19,1.40412979351033
3,1.41002949852507
8,1.41592920353982
13,1.42182890855457
16,1.42772861356932
21,1.43362831858407
23,1.43952802359882
20,1.44542772861357
19,1.45132743362832
11,1.45722713864307
6,1.46312684365782
16,1.46902654867257
17,1.47492625368731
17,1.48082595870207
18,1.48672566371681
18,1.49262536873156
15,1.49852507374631
1807,1.50442477876106
1378,1.51032448377581
1502,1.51622418879056
1786,1.52212389380531
1799,1.52802359882006
1814,1.53392330383481
1771,1.53982300884956
1868,1.54572271386431
1850,1.55162241887906
1942,1.5575221238938
1981,1.56342182890856
2029,1.5693215339233
1941,1.57522123893805
2045,1.5811209439528
2018,1.58702064896755
2016,1.5929203539823
1955,1.59882005899705
1932,1.6047197640118
1919,1.61061946902655
1985,1.6165191740413
2024,1.62241887905605
2170,1.6283185840708
2114,1.63421828908555
2149,1.6401179941003
2173,1.64601769911505
2246,1.65191740412979
2250,1.65781710914454
2288,1.66371681415929
2284,1.66961651917403
2289,1.67551622418878
2299,1.68141592920353
2285,1.68731563421828
2281,1.69321533923303
2313,1.69911504424778
2336,1.70501474926253
2329,1.71091445427728
2312,1.71681415929203
2338,1.72271386430678
2347,1.72861356932153
2366,1.73451327433628
2322,1.74041297935103
2322,1.74631268436578
2324,1.75221238938053
2360,1.75811209439528
2397,1.76401179941003
2384,1.76991150442478
2405,1.77581120943953
2424,1.78171091445428
2439,1.78761061946903
2443,1.79351032448378
2443,1.79941002949853
2492,1.80530973451327
2459,1.81120943952802
2510,1.81710914454277
2491,1.82300884955752
2532,1.82890855457227
2547,1.83480825958702
2525,1.84070796460177
2546,1.84660766961652
2523,1.85250737463127
2532,1.85840707964602
2566,1.86430678466077
2561,1.87020648967552
2569,1.87610619469027
2563,1.88200589970502
2553,1.88790560471977
2551,1.89380530973452
2557,1.89970501474927
2568,1.90560471976402
2572,1.91150442477877
2598,1.91740412979352
2577,1.92330383480827
2557,1.92920353982302
2558,1.93510324483777
2599,1.9410029498525
2570,1.94690265486725
2578,1.952802359882
2603,1.95870206489675
2570,1.9646017699115
2586,1.97050147492625
2578,1.976401179941
2635,1.98230088495575
2574,1.9882005899705
2578,1.99410029498525
2573,2
2598,2.00589970501475
2583,2.0117994100295
2619,2.01769911504425
2603,2.023598820059
2611,2.02949852507375
2613,2.0353982300885
2645,2.04129793510325
2620,2.047197640118
2619,2.05309734513275
2606,2.0589970501475
2608,2.06489675516225
2630,2.07079646017698
2630,2.07669616519173
2649,2.08259587020648
2650,2.08849557522123
2670,2.09439528023598
2641,2.10029498525073
2712,2.10619469026548
2713,2.11209439528023
2671,2.11799410029498
2660,2.12389380530973
2657,2.12979351032448
2644,2.13569321533923
2674,2.14159292035398
2659,2.14749262536873
2675,2.15339233038348
2873,2.15929203539823
2675,2.16519174041298
2672,2.17109144542773
2680,2.17699115044248
2680,2.18289085545723
2679,2.18879056047198
2687,2.19469026548673
2688,2.20058997050148
2693,2.20648967551622
2687,2.21238938053097
2687,2.21828908554572
2685,2.22418879056047
2690,2.23008849557522
2683,2.23598820058997
2684,2.24188790560472
2706,2.24778761061947
2687,2.25368731563422
2687,2.25958702064897
2693,2.26548672566372
2714,2.27138643067847
2699,2.27728613569322
2698,2.28318584070797
2703,2.28908554572272
2702,2.29498525073747
2720,2.30088495575222
2732,2.30678466076697
2720,2.31268436578172
