Number of particles,times
4,0.017699115044248
9,0.023598820058997
6,0.029498525073746
5,0.035398230088496
8,0.041297935103245
4,0.047197640117994
8,0.053097345132743
5,0.058997050147493
9,0.064896755162242
6,0.070796460176991
8,0.076696165191741
5,0.08259587020649
7,0.088495575221239
7,0.094395280235988
5,0.100294985250738
6,0.106194690265487
9,0.112094395280236
7,0.117994100294985
8,0.123893805309734
11,0.129793510324484
7,0.135693215339233
10,0.141592920353982
9,0.147492625368731
6,0.153392330383481
5,0.15929203539823
14,0.165191740412979
6,0.171091445427728
4,0.176991150442478
8,0.182890855457227
6,0.188790560471977
11,0.194690265486725
6,0.200589970501475
8,0.206489675516225
5,0.212389380530973
7,0.218289085545723
6,0.224188790560472
7,0.230088495575222
6,0.23598820058997
5,0.24188790560472
4,0.247787610619468
4,0.253687315634218
6,0.259587020648968
4,0.265486725663717
5,0.271386430678467
8,0.277286135693215
8,0.283185840707965
7,0.289085545722713
8,0.294985250737463
7,0.300884955752212
6,0.306784660766962
8,0.312684365781712
5,0.31858407079646
6,0.32448377581121
6,0.330383480825958
8,0.336283185840708
7,0.342182890855457
6,0.348082595870207
9,0.353982300884955
6,0.359882005899705
7,0.365781710914455
7,0.371681415929203
9,0.377581120943953
9,0.383480825958702
3,0.389380530973452
6,0.3952802359882
10,0.40117994100295
7,0.407079646017698
8,0.412979351032448
7,0.418879056047198
6,0.424778761061947
8,0.430678466076697
5,0.436578171091445
5,0.442477876106195
7,0.448377581120943
7,0.454277286135693
5,0.460176991150442
6,0.466076696165192
10,0.471976401179942
12,0.47787610619469
6,0.48377581120944
8,0.489675516224188
5,0.495575221238938
6,0.501474926253687
8,0.507374631268437
5,0.513274336283185
10,0.519174041297935
8,0.525073746312685
7,0.530973451327433
10,0.536873156342183
7,0.542772861356932
9,0.548672566371682
5,0.55457227138643
6,0.56047197640118
4,0.56637168141593
4,0.572271386430678
5,0.578171091445428
8,0.584070796460177
4,0.589970501474927
5,0.595870206489675
7,0.601769911504425
9,0.607669616519173
9,0.613569321533923
9,0.619469026548673
9,0.625368731563422
7,0.631268436578172
4,0.63716814159292
7,0.64306784660767
7,0.648967551622418
9,0.654867256637168
9,0.660766961651917
5,0.666666666666667
5,0.672566371681417
4,0.678466076696165
6,0.684365781710915
5,0.690265486725663
4,0.696165191740413
10,0.702064896755162
7,0.707964601769912
5,0.713864306784662
7,0.71976401179941
6,0.72566371681416
7,0.731563421828908
3,0.737463126843658
5,0.743362831858407
8,0.749262536873157
6,0.755162241887905
12,0.761061946902655
7,0.766961651917405
4,0.772861356932153
6,0.778761061946903
4,0.784660766961652
7,0.790560471976402
16,0.79646017699115
8,0.8023598820059
10,0.808259587020648
6,0.814159292035398
10,0.820058997050148
11,0.825958702064897
10,0.831858407079647
5,0.837758112094395
10,0.843657817109145
8,0.849557522123893
8,0.855457227138643
10,0.861356932153392
4,0.867256637168142
6,0.873156342182892
6,0.87905604719764
8,0.88495575221239
5,0.890855457227138
6,0.896755162241888
6,0.902654867256637
6,0.908554572271387
5,0.914454277286137
7,0.920353982300885
4,0.926253687315635
5,0.932153392330383
7,0.938053097345133
6,0.943952802359882
6,0.949852507374632
5,0.95575221238938
11,0.96165191740413
10,0.967551622418878
8,0.973451327433628
9,0.979351032448378
12,0.985250737463127
6,0.991150442477877
11,0.997050147492625
9,1.00294985250738
5,1.00884955752212
10,1.01474926253687
8,1.02064896755162
6,1.02654867256637
9,1.03244837758112
4,1.03834808259587
6,1.04424778761062
12,1.05014749262537
6,1.05604719764012
8,1.06194690265487
6,1.06784660766962
7,1.07374631268437
11,1.07964601769912
10,1.08554572271387
5,1.09144542772861
4,1.09734513274336
5,1.10324483775811
6,1.10914454277286
7,1.11504424778761
6,1.12094395280236
8,1.12684365781711
